job,marital,education,contact,month,poutcome,y,balanceSummary,ageBand,defaultValue,housingVal,loanVal
services,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,may,success,yes,positive,ageBand2,defaultNo,houseYes,loanYes
technician,married,secondary,unknown,sep,other,yes,positive,ageBand4,defaultNo,houseYes,loanNo
management,single,secondary,cellular,mar,unknown,yes,positive,ageBand2,defaultNo,houseNo,loanNo
management,divorced,tertiary,cellular,may,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,tertiary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
retired,married,primary,telephone,jun,failure,yes,positive,ageBand5,defaultNo,houseNo,loanNo
services,divorced,primary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,jan,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
student,single,secondary,telephone,jun,unknown,no,positive,ageBand1,defaultNo,houseNo,loanNo
technician,married,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
admin.,single,secondary,cellular,mar,other,no,positive,ageBand2,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
admin.,single,secondary,cellular,may,unknown,no,negative,ageBand2,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,mar,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
housemaid,married,primary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,single,tertiary,cellular,jan,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
services,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
self-employed,married,tertiary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseYes,loanYes
management,married,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,jul,unknown,no,negative,ageBand3,defaultNo,houseYes,loanYes
management,married,tertiary,cellular,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
self-employed,single,tertiary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
retired,divorced,unknown,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,divorced,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,mar,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
technician,divorced,tertiary,unknown,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
self-employed,married,secondary,cellular,apr,success,no,positive,ageBand4,defaultNo,houseNo,loanNo
technician,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,aug,other,yes,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,may,other,no,positive,ageBand4,defaultNo,houseYes,loanNo
services,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
admin.,married,secondary,cellular,may,failure,no,positive,ageBand1,defaultNo,houseYes,loanNo
management,married,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,may,unknown,no,negative,ageBand4,defaultNo,houseYes,loanNo
admin.,married,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
services,married,secondary,cellular,apr,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,sep,failure,no,positive,ageBand2,defaultNo,houseYes,loanNo
services,divorced,secondary,telephone,nov,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
blue-collar,married,unknown,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,single,secondary,telephone,jun,other,no,positive,ageBand1,defaultNo,houseNo,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,negative,ageBand5,defaultNo,houseYes,loanNo
retired,married,primary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,secondary,unknown,jun,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
technician,married,tertiary,cellular,nov,unknown,yes,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,jan,failure,no,positive,ageBand3,defaultNo,houseNo,loanYes
technician,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,telephone,jan,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,unknown,telephone,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,may,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,single,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
unemployed,single,tertiary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,divorced,unknown,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,divorced,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,single,secondary,cellular,apr,other,yes,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,divorced,unknown,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,feb,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,divorced,secondary,unknown,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
retired,divorced,primary,cellular,mar,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,single,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand4,defaultYes,houseYes,loanNo
services,single,secondary,cellular,may,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,jan,success,no,negative,ageBand2,defaultNo,houseYes,loanNo
retired,married,secondary,telephone,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
admin.,divorced,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
student,single,tertiary,cellular,aug,other,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,success,yes,positive,ageBand3,defaultNo,houseNo,loanNo
entrepreneur,married,secondary,cellular,may,other,no,positive,ageBand3,defaultNo,houseNo,loanYes
self-employed,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
services,married,secondary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,veryNegative,ageBand3,defaultNo,houseYes,loanNo
retired,single,secondary,unknown,may,unknown,yes,positive,ageBand5,defaultNo,houseYes,loanNo
unknown,married,primary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,single,secondary,unknown,jun,unknown,no,veryPositive,ageBand3,defaultNo,houseYes,loanNo
admin.,single,secondary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
retired,married,secondary,telephone,jul,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,cellular,jul,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
retired,married,tertiary,cellular,oct,success,yes,positive,ageBand5,defaultNo,houseNo,loanNo
retired,married,primary,telephone,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
housemaid,divorced,primary,unknown,jun,unknown,yes,positive,ageBand5,defaultYes,houseNo,loanNo
unknown,married,unknown,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
retired,married,primary,cellular,jul,success,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,divorced,primary,cellular,may,failure,no,positive,ageBand5,defaultNo,houseYes,loanNo
self-employed,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,unknown,may,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jul,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanYes
self-employed,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,married,secondary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,jan,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,single,primary,unknown,jun,unknown,yes,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,jan,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,married,secondary,unknown,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanYes
management,married,tertiary,cellular,nov,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,unknown,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
unknown,married,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jun,unknown,yes,positive,ageBand3,defaultNo,houseNo,loanYes
services,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,tertiary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
services,divorced,secondary,cellular,mar,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,jun,success,yes,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,single,tertiary,cellular,may,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,married,secondary,telephone,apr,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
admin.,divorced,secondary,cellular,feb,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,tertiary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,single,secondary,cellular,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
services,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,cellular,dec,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,mar,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
self-employed,married,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,single,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,unknown,jun,unknown,no,veryPositive,ageBand4,defaultNo,houseYes,loanNo
entrepreneur,married,primary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
technician,single,secondary,cellular,feb,success,yes,positive,ageBand2,defaultNo,houseNo,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
entrepreneur,married,primary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
unknown,single,tertiary,telephone,jan,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,cellular,aug,unknown,no,negative,ageBand3,defaultNo,houseNo,loanYes
services,single,secondary,cellular,jul,unknown,no,negative,ageBand2,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
unemployed,single,secondary,cellular,jan,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
retired,married,tertiary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
blue-collar,divorced,primary,telephone,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,unknown,jun,unknown,no,negative,ageBand5,defaultNo,houseNo,loanYes
services,married,secondary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,unknown,may,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
retired,married,secondary,cellular,aug,unknown,no,negative,ageBand5,defaultNo,houseYes,loanYes
admin.,divorced,secondary,cellular,aug,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,married,secondary,telephone,jun,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
entrepreneur,single,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,telephone,jul,unknown,no,negative,ageBand4,defaultNo,houseNo,loanYes
technician,single,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultYes,houseNo,loanNo
admin.,divorced,secondary,cellular,jan,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,nov,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
unemployed,single,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,may,unknown,no,negative,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
housemaid,married,primary,telephone,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
self-employed,married,tertiary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
unknown,married,unknown,telephone,jan,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
unemployed,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,may,other,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
entrepreneur,married,primary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
technician,single,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,nov,other,no,positive,ageBand4,defaultNo,houseYes,loanYes
blue-collar,single,unknown,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
technician,divorced,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,single,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,single,secondary,cellular,oct,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
services,married,secondary,telephone,nov,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,may,unknown,yes,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,single,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,divorced,tertiary,telephone,nov,unknown,yes,positive,ageBand5,defaultNo,houseYes,loanYes
services,married,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,divorced,secondary,telephone,nov,other,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,apr,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,divorced,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
self-employed,married,secondary,cellular,nov,failure,no,positive,ageBand4,defaultNo,houseYes,loanNo
entrepreneur,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
student,single,unknown,cellular,jul,unknown,no,positive,ageBand1,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,jan,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
admin.,married,secondary,telephone,nov,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,secondary,telephone,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
entrepreneur,married,tertiary,cellular,feb,failure,no,positive,ageBand5,defaultNo,houseNo,loanYes
services,single,unknown,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,secondary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
management,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,married,secondary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
entrepreneur,married,tertiary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
management,married,primary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
student,single,tertiary,cellular,feb,unknown,yes,positive,ageBand2,defaultNo,houseNo,loanNo
admin.,single,secondary,cellular,apr,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
admin.,single,secondary,unknown,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
services,married,unknown,cellular,nov,success,no,positive,ageBand5,defaultNo,houseNo,loanYes
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
entrepreneur,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,divorced,unknown,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
unemployed,divorced,secondary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
entrepreneur,married,primary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,single,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
unknown,single,unknown,telephone,jan,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,may,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,telephone,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,divorced,unknown,cellular,feb,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,single,primary,cellular,may,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,secondary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanYes
management,married,tertiary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,jan,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
blue-collar,married,primary,telephone,nov,other,no,positive,ageBand4,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
services,single,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,single,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
blue-collar,married,unknown,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
retired,married,secondary,cellular,apr,failure,no,positive,ageBand5,defaultNo,houseNo,loanNo
self-employed,single,secondary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
services,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
unemployed,divorced,secondary,cellular,feb,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,single,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanYes
self-employed,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
services,single,primary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
student,married,tertiary,cellular,jul,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
management,married,secondary,cellular,nov,failure,no,positive,ageBand3,defaultNo,houseYes,loanYes
blue-collar,married,primary,cellular,feb,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,divorced,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,unknown,cellular,dec,success,no,veryPositive,ageBand3,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,jul,unknown,yes,positive,ageBand4,defaultNo,houseYes,loanNo
services,married,secondary,cellular,apr,unknown,no,negative,ageBand5,defaultNo,houseYes,loanYes
blue-collar,single,unknown,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
management,divorced,tertiary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,secondary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,aug,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
management,divorced,tertiary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanYes
self-employed,married,primary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
admin.,single,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,married,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
retired,married,primary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,may,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,primary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
self-employed,married,secondary,telephone,may,other,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,single,primary,cellular,jul,unknown,no,negative,ageBand4,defaultYes,houseNo,loanYes
blue-collar,married,primary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
technician,married,secondary,unknown,jun,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
services,married,secondary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,nov,failure,no,positive,ageBand3,defaultNo,houseYes,loanYes
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
management,divorced,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,secondary,cellular,jul,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
