Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Daisy Peak,"919	",Montana,SNOTEL,Meagher,7600,46.66858,-110.33022,"100402010106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,183,220,61,23,25,6,82,4,15,,,,6,5,0,16,"2010, 2016",2019,18
Daly Creek,"433	",Montana,SNOTEL,Ravalli,5780,46.18367,-113.8533,"170102050901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,131,100,29,5,5,0,72,6,10,,,,1.53,2,0,4,"2012, 2016, 2018, more","2015, 2017",19
Daly Lake,"434	",Oregon,SNOTEL,Linn,3690,44.52147,-122.08718,"170900060101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.38,0,0,4,"2016, 2018, 2019, more",2013,16
Daniel Fish Hatchery,"2242	",Wyoming,ACIS,Sublette,7340,42.91666,-110.13333,"140401010701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,77,8,1,Lowest,,,0.55,0,0,6,"2017, 2018, 2020, more",1991,31
Daniels-Strawberry,"435	",Utah,SNOTEL,Wasatch,8008,40.2953,-111.25677,"140600040101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,13,1,Lowest,,,1.8,0,0,11,"2017, 2018, 2020, more",2004,25
Darkhorse Lake,"436	",Montana,SNOTEL,Beaverhead,8945,45.17367,-113.58448,"100200040301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,58,64,82,9,9,-5,22,15,3,,,,15.53,14,6,30,2016,"2013, 2017",19
Deadman Creek,"437	",Montana,SNOTEL,Meagher,6450,46.79279,-110.67545,"100301030401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,158,167,33,11,11,2,82,4,14,,,,3.17,3,0,13,"2011, 2014, 2016, more",2017,18
Deadman Hill,"438	",Colorado,SNOTEL,Larimer,10220,40.80571,-105.76993,"101900070502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,45,41,43,6,7,-8.5,12,16,2,2nd Lowest,,,13.22,14.5,4,19,2016,2011,18
Deadwood Summit,"439	",Idaho,SNOTEL,Valley,6860,44.54514,-115.5638,"170501200401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-3,17,16,1,Lowest,,,6.68,3,0,29,"2015, 2016, 2020, more",2017,19
Deer Park,"923	",Wyoming,SNOTEL,Fremont,9700,42.59076,-108.90273,"100800030101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-7,14,20,1,Lowest,,,7.61,7,0,28,"2005, 2016, 2020, more",2004,23
Defiance Mines,"1210	",Nevada,SNOTEL,White Pine,9302,39.08527,-114.89977,"160600081002	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,75,,50,2,2,1,75,3,7,,,,1.33,0,0,7,"2017, 2018, 2019, more",2013,9
Derr.,"440	",Oregon,SNOTEL,Wheeler,5850,44.4465,-119.93012,"170703040401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.53,0,0,8,"2017, 2018, 2019, more",2005,15
Diamond Lake,"442	",Oregon,SNOTEL,Douglas,5280,43.18787,-122.14003,"171003010204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.88,0,0,9,"2016, 2018, 2019, more",2005,16
Diamond Peak,"443	",Nevada,SNOTEL,Eureka,8017,39.56361,-115.84421,"160600051503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,150,,100,7,7,2,82,4,15,,,,1.33,0,0,8,"2017, 2018, 2019, more",2015,18
Dills Camp,"444	",Utah,SNOTEL,Sanpete,9228,39.04554,-111.46875,"140700020201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,59,8,1,Lowest,,,1.61,0,0,11,"2018, 2019, 2020, more",2004,18
Disaster Peak,"445	",Nevada,SNOTEL,Humboldt,6260,41.96737,-118.18934,"160402010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,88,3,1,Lowest,,,0.35,0,0,5,"2018, 2019, 2020, more",2004,17
Dismal Swamp,"446	",California,SNOTEL,Modoc,7360,41.99127,-120.18033,"171200070304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,8,1,Lowest,,,1.6,0,0,9,"2018, 2019, 2020, more",2008,15
Divide,"448	",Montana,SNOTEL,Madison,7800,44.79317,-112.05645,"100200030102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-3,18,19,1,Lowest,,,4.61,3,0,16,"2011, 2016, 2020, more",2000,23
Divide Peak,"449	",Wyoming,SNOTEL,Carbon,8880,41.30398,-107.15241,"140500030203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,31,50,22,2,3,-2,35,12,7,,,,6.56,4,0,21,"2015, 2016, 2017, more",2004,18
Dollarhide Summit,"450	",Idaho,SNOTEL,Blaine,8420,43.6025,-114.67417,"170402190201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4,5,21,1,Lowest,,,5.73,4,0,17,"2016, 2020",2000,22
Dome Lake,"451	",Wyoming,SNOTEL,Sheridan,8880,44.57462,-107.29537,"100901010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,144,143,63,17,18,3,76,5,12,,,,6.94,7,0,20,"2014, 2015, 2016",2011,18
Dome Mountain,"1A19P	",British Columbia,Cooperator Snow Sensors,"	",5801,53.61667,-121.01667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",15,,,115,100,71,15,14,0,58,6,7,,,,13.08,15,2,26,2010,2018,13
Donkey Reservoir,"452	",Utah,SNOTEL,Wayne,9799,38.2084,-111.47412,"140700030305	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.59,1,0,14,"2016, 2017, 2019, more",2004,17
Dorsey Basin,"453	",Nevada,SNOTEL,Elko,7903,40.89343,-115.21104,"160401010604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,45,12,1,Lowest,,,2.14,1,0,11,"2018, 2019, 2020, more",2004,21
Draw Creek,"454	",Nevada,SNOTEL,Elko,7332,41.661,-115.3234,"160401010403	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,67,7,1,Lowest,,,1.05,0,0,9,"2018, 2019, 2020, more",2015,19
Dry Bread Pond,"455	",Utah,SNOTEL,Cache,8302,41.41289,-111.5377,"160102030101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,30,17,1,Lowest,,,3.17,2,0,17,"2017, 2018, 2020, more",2004,24
Dry Creek,"1243	",Nevada,SNOTEL,Elko,6555,40.8638,-115.22014,"160401010601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.14,0,0,8,"2017, 2018, 2019, more",2015,7
Dry Fork,"906	",Utah,SNOTEL,Salt Lake,7093,40.56533,-112.17343,"160202040106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,116,150,75,5,6,1,63,7,11,,,,2.59,2,0,10,"2016, 2017, 2018, more",2019,17
Dry Lake,"457	",Colorado,SNOTEL,Routt,8400,40.53397,-106.7813,"140500010409	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,21,33,14,1,1,-2,36,15,7,,,,4.65,3,0,15,"2015, 2016, 2017, more",2019,23
Dungeness,"943	",Washington,SNOTEL,Clallam,4010,47.87224,-123.0788,"171100200301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,192,,25,3,3,1,86,4,20,,,,0.52,0,0,6,"2017, 2018, 2019, more",2005,23
Dupuyer Creek,"458	",Montana,SNOTEL,Teton,5750,48.06341,-112.7573,"100302010501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,37,13,1,Lowest,,,3.3,2,0,15,"2012, 2016, 2020, more",2019,20
EF Blacks Fork GS,"1163	",Utah,SNOTEL,Summit,9360,40.88472,-110.54056,"140401070302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,40,7,1,Lowest,,,1.45,1,0,6,"2016, 2017, 2020, more",2019,11
Eagle Lake,"2192	",California,SCAN,Lassen,5134,40.6175,-120.72472,"180800030305	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2015, 2016","2015, 2016",2
Eagle Summit,"960	",Alaska,SNOTEL,Yukon-Koyukuk,3650,65.48588,-145.41212,"190804010801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",77,,,645,"1,027",100,356,513,69.5,100,1,16,Highest,,,11.94,7.5,2,77,2016,2020,16
East Boulder Mine,"1105	",Montana,SNOTEL,Sweet Grass,6335,45.50381,-110.08019,"100700020701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,67,5,1,Lowest,,,1.69,0,0,7,"2016, 2018, 2020, more",2017,13
East Palmer,"953	",Alaska,SNOTEL,Matanuska-Susitna,230,61.59858,-149.09637,"190204020709	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,,1,1,,,,0,0,0,0,2020,2020,1
East Rim Divide,"460	",Wyoming,SNOTEL,Sublette,7930,43.13097,-110.2023,"170401030203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,71,200,20,2,2,0.5,67,4,6,,,,1.4,0.5,0,5,"2014, 2015, 2016, more",2017,10
East Willow Creek,"461	",Utah,SNOTEL,Grand,8302,39.31213,-109.53179,"140600060205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,100,,50,3,3,1,76,5,13,,,,1,0,0,5,"2017, 2018, 2019, more",2003,18
Easy Pass,"998	",Washington,SNOTEL,Whatcom,5270,48.85933,-121.43895,"171100010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.5,2,0,6,2014,2019,4
Ebbetts Pass,"462	",California,SNOTEL,Alpine,8661,38.5497,-119.80468,"160502010104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,55,10,1,Lowest,,,5,0,0,37,"2018, 2019, 2020, more",2004,21
Echo Lake,"936	",Colorado,SNOTEL,Clear Creek,10600,39.65627,-105.59345,"101900020801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,18,25,25,2,2,-3,18,19,4,,,,5.57,4,0,17,"2001, 2014, 2016",2006,23
Echo Peak,"463	",California,SNOTEL,El Dorado,7653,38.849,-120.0795,"160501010303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-2,39,12,1,Lowest,,,4.32,2,0,28,"2018, 2019, 2020, more",2004,19
Eilertson Meadows,"464	",Oregon,SNOTEL,Baker,5510,44.86887,-118.11387,"170502030404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.53,0,0,6,"2017, 2018, 2019, more",2011,17
El Diente Peak,"465	",Colorado,SNOTEL,Dolores,10000,37.78617,-108.02155,"140300020202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,45,12,1,Lowest,,,2,1,0,12,"2018, 2019, 2020, more",2003,21
Elbow Lake,"910	",Washington,SNOTEL,Whatcom,3040,48.69092,-121.90893,"171100040401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.08,0,0,11,"2016, 2018, 2019, more",2017,24
Elk Butte,"466	",Idaho,SNOTEL,Clearwater,5690,46.83998,-116.12233,"170603080701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,72,200,20,2,2,1,67,8,14,,,,2.77,1,0,14,"2014, 2015, 2016, more",2004,22
Elk Cabin,"921	",New Mexico,SNOTEL,Santa Fe,8210,35.7043,-105.80675,"130202010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,211,,50,2,6,1,100,1,11,Highest,,,0.47,0,0,1,"2015, 2016, 2017, more","2018, 2019, 2020, more",19
Elk Peak,"1106	",Montana,SNOTEL,Meagher,7600,46.4845,-110.7125,"100402010203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,143,450,53,12,13,7,67,5,8,,,,6.31,2,0,17,"2012, 2014, 2016, more","2009, 2017",13
Elk Peak SC,"536	",Montana,SNOLITE,Meagher,8000,46.47642,-110.72065,"100301030104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,77,77,53,16,16,-3,0,2,1,Lowest,,,13,13,10,16,2020,2019,2
Elk River,"467	",Colorado,SNOTEL,Routt,8700,40.84781,-106.96871,"140500010206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,22,15,1,Lowest,,,3.84,2,0,17,"2012, 2016, 2020, more",2003,19
Elkhart Park G.S.,"468	",Wyoming,SNOTEL,Sublette,9400,43.00657,-109.75893,"140401020103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,46,50,33,2,2,-1,40,4,2,2nd Lowest,,,2.17,2,0,5,2016,2017,6
Elkhead Divide,"1252	",Colorado,SNOTEL,Routt,8780,40.79649,-107.10122,"140500010601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,100,300,50,4,4,2,75,2,4,2nd Highest,,,3,1,0,11,"2016, 2017",2019,5
Elliot Ridge,"1120	",Colorado,SNOTEL,Summit,10520,39.864,-106.4246,"140100020602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,37,57,29,3,3,-1.5,27,9,3,,,,5.42,3.5,1,15,"2016, 2017",2013,12
Emery Creek,"469	",Montana,SNOTEL,Flathead,4350,48.43412,-113.93725,"170102090703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,138,300,43,6,6,2,82,4,14,,,,2.17,1,0,13,"2015, 2016, 2018, more",2013,18
Emigrant Springs,"470	",Oregon,SNOTEL,Umatilla,3800,45.55808,-118.45383,"170701030501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,95,2,1,Lowest,,,0.05,0,0,1,"2018, 2019, 2020, more",2013,20
Emigrant Summit,"471	",Idaho,SNOTEL,Bear Lake,7390,42.36055,-111.56085,"160102020206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,29,100,100,1,1,0,50,10,7,,,,3.42,1,0,19,"2012, 2015, 2018, more",2004,19
Esther Island,"1071	",Alaska,SNOTEL,Valdez-Cordova,50,60.798,-148.0857,"190202011605	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,80,2,1,Lowest,,,1.5,0,0,9,"2016, 2017, 2020, more",2018,6
Evening Star,"472	",Wyoming,SNOTEL,Park,9200,44.65258,-109.78422,"100700060301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",22,,,144,152,69,23,24,7.5,82,4,15,,,,15.28,14.5,4,40,2014,2017,18
Exit Glacier,"1092	",Alaska,SNOTEL,Kenai Peninsula,400,60.19033,-149.62117,"190202020508	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,75,,100,2,3,1,75,3,7,,,,1.33,0,0,8,"2016, 2017, 2018, more",2011,9
Fallen Leaf,"473	",California,SNOTEL,El Dorado,6242,38.93403,-120.0545,"160501010401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,85,4,1,Lowest,,,0.67,0,0,8,"2018, 2019, 2020, more",2004,21
Farmington,"474	",Utah,SNOTEL,Davis,7902,40.97462,-111.80975,"160201020502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,16,20,17,1,1,-4,30,17,7,,,,6.13,5,0,35,"2015, 2016, 2018, more",2004,24
Farmington Lower,"1054	",Utah,SNOTEL,Davis,6779,40.992,-111.81702,"160201020502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,9,1,Lowest,,,1.53,0,0,15,"2017, 2018, 2020, more",2004,17
Farnsworth Lake,"475	",Utah,SNOTEL,Sevier,9623,38.77246,-111.67662,"160300030405	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,27,29,33,2,3,-5,29,18,7,,,,7.4,7,0,19,"2005, 2016, 2017, more","1998, 2004",25
Farson 2NNE,"3170	",Wyoming,ACIS,Sweetwater,6590,42.11666,-109.43333,"140401040306	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.13,0,0,2,"2017, 2018, 2019, more","1960, 1994",52
Fawn Creek,"476	",Nevada,SNOTEL,Elko,7031,41.82098,-116.10153,"170501040304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,44,11,1,Lowest,,,3.11,1,0,16,"2018, 2019, 2020, more",2015,19
Fernie,"2850	",British Columbia,ACIS,"	",3290,49.5,-115.05,"170101060804	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.3,0,0,5,"2016, 2018, 2019, more",2017,33
Fielding Lake,"1268	",Alaska,SNOTEL,Valdez-Cordova,3000,63.20267,-145.6305,"190803040302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,120,100,70,16,17,0,60,3,3,,,,5.83,7,0,9,2016,2017,6
Finley Corrals AM,"1274	",Oregon,SNOLITE,Lake,5950,42.45988,-120.78508,"180102020402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.8,0,0,9,"2016, 2018, 2019, more",2017,5
Fish Creek,"477	",Oregon,SNOTEL,Harney,7660,42.70992,-118.6321,"171200030107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.91,1,0,13,"2016, 2018, 2019, more","2004, 2005",22
Fish Lake,"478	",Washington,SNOTEL,Kittitas,3430,47.53565,-121.08553,"170300010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.35,0,0,11,"2017, 2018, 2019, more",2004,20
Fish Lake Utah,"1149	",Utah,SNOTEL,Sevier,8798,38.50455,-111.76693,"140700030108	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.4,0,0,4,"2017, 2018, 2019, more",2013,10
Fish Lk.,"479	",Oregon,SNOTEL,Jackson,4660,42.3801,-122.34943,"171003070801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,71,5,1,Lowest,,,0.47,0,0,2,"2018, 2019, 2020, more","2008, 2013, 2017",15
Fisher Creek,"480	",Montana,SNOTEL,Park,9100,45.06235,-109.94488,"100700060202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",28,,,168,175,68,25,24,12,95,2,22,2nd Highest,,,16.7,16,3,42,1999,2017,23
Five Points Lake,"481	",Utah,SNOTEL,Duchesne,10943,40.71785,-110.46721,"140600030701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4.5,5,19,1,Lowest,,,6.1,4.5,0,34,"2007, 2020",2004,20
Flattop Mtn.,"482	",Montana,SNOTEL,Flathead,6300,48.80225,-113.85713,"170102070501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",20,,,148,154,83,15,14,7,84,4,15,,,,13.5,13,2,30,2008,2013,20
Flower Mountain,"1285	",Alaska,SNOTEL,Haines,2510,59.39617,-136.28123,"190103031206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",15,,,214,300,100,20,21,10,100,1,3,Highest,,,7,5,1,15,2018,2020,3
Fontenelle Dam,"3396	",Wyoming,ACIS,Lincoln,6480,41.98333,-110.06666,"140401030602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",36
Fool Creek,"1186	",Colorado,SNOTEL,Grand,11150,39.8687,-105.8675,"140100010203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,48,59,100,7,7,-3.5,22,8,2,2nd Lowest,,,10.4,8.5,4,19,2014,2018,10
Forestdale Creek,"1049	",California,SNOTEL,Alpine,8017,38.68245,-119.9597,"160502010301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,47,10,1,Lowest,,,4.67,1,0,32,"2018, 2019, 2020, more",2004,18
Fort Valley,"1121	",Arizona,SNOTEL,Coconino,7350,35.26806,-111.74486,"150200150102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,650,,50,7,7,1,100,1,12,Highest,,,0.15,0,0,1,"2017, 2018, 2019, more","2013, 2020",13
Fort Yukon,"961	",Alaska,SNOTEL,Yukon-Koyukuk,430,66.5705,-145.24553,"190705062100	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-5,13,14,1,Lowest,,,4.44,5,0,8,"2013, 2016, 2020",2008,16
Fourmile Lake,"483	",Oregon,SNOTEL,Klamath,5970,42.43933,-122.2288,"180102030202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.32,0,0,9,"2016, 2018, 2019, more",2005,22
Franklin Basin,"484	",Idaho,SNOTEL,Franklin,8140,42.0505,-111.6012,"160102020501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,22,29,33,1,1,-2.5,35,16,4,,,,4.54,3.5,0,24,"1999, 2007, 2014",2004,24
Fredonyer Peak,"1277	",California,SNOTEL,Lassen,7208,40.68799,-120.60805,"180800030304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",4
Fremont Pass,"485	",Colorado,SNOTEL,Summit,11400,39.37991,-106.19681,"140100020301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,20,20,40,2,3,-8,8,13,2,2nd Lowest,,,10.07,10,1,20,2016,2018,14
Frisco Divide,"486	",New Mexico,SNOTEL,Catron,8000,33.73646,-108.94502,"150400040303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.35,0,0,5,"2017, 2018, 2019, more",2008,17
Frohner Meadow,"487	",Montana,SNOTEL,Jefferson,6480,46.43545,-112.19277,"100301011305	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,187,200,32,17,18,3,89,3,16,,,,3.21,3,0,12,"2012, 2014, 2016, more",2017,19
Frostbite Bottom,"641	",Alaska,SNOTEL,Matanuska-Susitna,2700,61.74722,-149.2688,"190205051202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,100,100,69,12,12,0,,1,1,,,,9,9,9,9,2020,2020,1
Fry,"488	",Arizona,SNOTEL,Coconino,7200,35.07297,-111.84374,"150602020501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,400,,100,7,6,2,94,2,17,2nd Highest,,,0.5,0,0,3,"2017, 2018, 2019, more",2004,18
Fry Canyon,"1262	",Nevada,SNOTEL,Elko,6798,41.57022,-115.93645,"160401020101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,64,,100,5,5,1,83,2,6,2nd Highest,,,1.57,0,0,10,"2017, 2018, 2019, more",2015,7
GBRC HQ,"1221	",Utah,SNOTEL,Sanpete,8801,39.32019,-111.48827,"160300040307	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.25,0,0,7,"2016, 2017, 2018, more",2013,8
GBRC Meadows,"1222	",Utah,SNOTEL,Sanpete,9858,39.30229,-111.45383,"160300040307	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.25,0,0,11,"2016, 2017, 2018, more",2013,8
Galena,"489	",Idaho,SNOTEL,Blaine,7470,43.87722,-114.6725,"170402190101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,35,67,100,2,2,-0.5,47,9,4,,,,2.88,1.5,0,10,"2016, 2018, 2019",2017,16
Galena AK,"429	",Alaska,SNOTEL,Yukon-Koyukuk,410,64.69662,-156.71497,"190902051104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,0,2,1,Lowest,,,1,1,0,2,2020,2018,2
Galena Summit,"490	",Idaho,SNOTEL,Blaine,8780,43.87497,-114.71363,"170402190101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-7,0,24,1,Lowest,,,8.38,7,0,18,2020,"2004, 2017",24
Gallegos Peak,"491	",New Mexico,SNOTEL,Taos,9800,36.19446,-105.55795,"130201010502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,56,,17,2,3,1,63,8,12,,,,1.8,0,0,8,"2015, 2016, 2017, more",2002,20
Garden City Summit,"1114	",Utah,SNOTEL,Cache,7705,41.9215,-111.4693,"160102010106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.73,2,0,10,"2014, 2015, 2016, more",2019,11
Gardner Peak,"1066	",Utah,SNOTEL,Washington,8322,37.40083,-113.45988,"150100080701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,74,,100,2,2,1,75,5,13,,,,1.35,0,0,8,"2017, 2018, 2019, more","2004, 2014",17
Garfield R.S.,"492	",Idaho,SNOTEL,Blaine,6560,43.6104,-113.9308,"170402210301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,400,,100,2,3,1,100,1,4,Highest,,,0.25,0,0,1,"2017, 2018, 2019",2020,4
Garita Peak,"1173	",New Mexico,SNOTEL,Rio Arriba,10160,36.005,-106.54838,"130202020201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,0,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",5
Garver Creek,"918	",Montana,SNOTEL,Lincoln,4250,48.97523,-115.81915,"170101030202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,76,200,50,5,5,1,67,7,11,,,,2.63,1,0,16,"2015, 2016, 2018, more",2017,19
George Creek,"1151	",Utah,SNOTEL,Box Elder,8964,41.91562,-113.41154,"170402100401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,4.1,4,0,8,2016,2019,10
Gerber Reservoir,"945	",Oregon,SNOTEL,Klamath,4890,42.2062,-121.1334,"180102040508	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.32,0,0,3,"2016, 2018, 2019, more",2017,22
